# Constructed from biom file
#OTU ID	SRR15884199	SRR15884200	SRR15884201	SRR15884202	SRR15884203	SRR15884204	SRR15884205	SRR15884206	SRR15884207	SRR15884208	SRR15884209	SRR15884210	SRR15884211	SRR15884212	SRR15884213	SRR15884214	SRR15884215	SRR15884216	SRR15884217	SRR15884218	SRR15884219	SRR15884220	SRR15884221	SRR15884222	SRR15884223	SRR15884224	SRR15884225	SRR15884226	SRR15884227	SRR15884228	SRR15884229	SRR15884230	SRR15884231	SRR15884232	SRR15884233	SRR15884234	SRR15884235	SRR15884236	SRR15884237	SRR15884238	SRR15884239	SRR15884240	SRR15884241	SRR15884242	SRR15884243	SRR15884244	SRR15884245	SRR15884246	SRR15884247	SRR15884248	SRR15884249	SRR15884250	SRR15884251	SRR15884252	SRR15884253	SRR15884254	SRR15884255	SRR15884256	SRR15884257	SRR15884258	SRR15884259	SRR15884260	SRR15884261	SRR15884262	SRR15884263	SRR15884264	SRR15884265	SRR15884266	SRR15884267	SRR15884268	SRR15884269	SRR15884270	SRR15884271	SRR15884272	SRR15884273	SRR15884274	SRR15884275	SRR15884276	SRR15884277	SRR15884278	SRR15884279	SRR15884280	SRR15884281	SRR15884282	SRR15884283	SRR15884284	SRR15884285	SRR15884286	SRR15884287	SRR15884288	SRR15884289	SRR15884290	SRR15884291	SRR15884292	SRR15884293	SRR15884294	SRR15884295	SRR15884296	SRR15884297	SRR15884298	SRR15884299	SRR15884300	SRR15884301	SRR15884302	SRR15884303	SRR15884304	SRR15884305	SRR15884306	SRR15884307	SRR15884308	SRR15884309	SRR15884310	SRR15884311	SRR15884312	SRR15884313	SRR15884314	SRR15884315	SRR15884316	SRR15884317	SRR15884318	SRR15884319	SRR15884320	SRR15884321	SRR15884322	SRR15884323	SRR15884324	SRR15884325	SRR15884326	SRR15884327	SRR15884328	SRR15884329	SRR15884330	SRR15884331	SRR15884332	SRR15884333	SRR15884334	SRR15884335	SRR15884336	SRR15884337	SRR15884338	SRR15884339	SRR15884340	SRR15884341	SRR15884342	SRR15884343	SRR15884344	SRR15884345	SRR15884346	SRR15884347	SRR15884349	SRR15884350	SRR15884351	SRR15884352	SRR15884353	SRR15884354	SRR15884355	SRR15884356	SRR15884357	SRR15884358	SRR15884359	SRR15884360	SRR15884361	SRR15884362	SRR15884363	SRR15884364	SRR15884365	SRR15884366	SRR15884367	SRR15884368	SRR15884369	SRR15884370	SRR15884371	SRR15884372	SRR15884373	SRR15884374	SRR15884375	SRR15884376	SRR15884377	SRR15884378	SRR15884379	SRR15884380	SRR15884381	SRR15884382	SRR15884383	SRR15884384	SRR15884385	SRR15884386	SRR15884387	SRR15884388	SRR15884389	SRR15884390	SRR15884391	SRR15884392	SRR15884393	SRR15884394	SRR15884395	SRR15884396	SRR15884397	SRR15884398	SRR15884399	SRR15884400	SRR15884401	SRR15884402	SRR15884403	SRR15884404	SRR15884405	SRR15884406	SRR15884407	SRR15884408	SRR15884409	SRR15884410	SRR15884411	SRR15884412	SRR15884413	SRR15884414	SRR15884415	SRR15884416	SRR15884417	SRR15884418	SRR15884419	SRR15884420	SRR15884421	SRR15884422	SRR15884423	SRR15884424	SRR15884425	SRR15884426	SRR15884427	SRR15884428	SRR15884429	SRR15884430	SRR15884431	SRR15884432	SRR15884433	SRR15884434	SRR15884435	SRR15884436	SRR15884437	SRR15884438	SRR15884439	SRR15884440	SRR15884441	SRR15884442	SRR15884443	SRR15884444	SRR15884445	SRR15884446	SRR15884447	SRR15884448	SRR15884449	SRR15884450	SRR15884451	SRR15884452	SRR15884453	SRR15884454	SRR15884455	SRR15884456	SRR15884457	SRR15884458	SRR15884459	SRR15884460	SRR15884461	SRR15884462	SRR15884463	SRR15884464	SRR15884465	SRR15884466	SRR15884467	SRR15884468	SRR15884469	SRR15884470	SRR15884471	SRR15884472	SRR15884473	SRR15884474	SRR15884475	SRR15884476	SRR15884477	SRR15884478	SRR15884479	SRR15884480	SRR15884481	SRR15884482	SRR15884483	SRR15884484	SRR15884485	SRR15884486	SRR15884487	SRR15884488	SRR15884489	SRR15884490	SRR15884491	SRR15884492	SRR15884493	SRR15884494	SRR15884495	SRR15884496	SRR15884497	SRR15884498	SRR15884499	SRR15884500	SRR15884501	SRR15884502	SRR15884503	SRR15884504	SRR15884505	SRR15884506	SRR15884507	SRR15884508	SRR15884509	SRR15884510	SRR15884511	SRR15884512	SRR15884513	SRR15884514	SRR15884515	SRR15884516	SRR15884517	SRR15884518	SRR15884519	SRR15884520	SRR15884521	SRR15884522	SRR15884523	SRR15884524	SRR15884525	SRR15884526	SRR15884527	SRR15884528	SRR15884529	SRR15884530	SRR15884531	SRR15884532	SRR15884533	SRR15884534	SRR15884535	SRR15884536	SRR15884537	SRR15884538	SRR15884539	SRR15884540	SRR15884541	SRR15884542	SRR15884543	SRR15884544	SRR15884545	SRR15884546	SRR15884547	SRR15884548	SRR15884549	SRR15884550	SRR15884551	SRR15884552	SRR15884553	SRR15884554	SRR15884555	SRR15884556	SRR15884557	SRR15884558	SRR15884559	SRR15884560	SRR15884561	SRR15884562	SRR15884563	SRR15884564	SRR15884565	SRR15884566	SRR15884567	SRR15884568	SRR15884569	SRR15884570	SRR15884571	SRR15884572	SRR15884573	SRR15884574	SRR15884575	SRR15884576	SRR15884577	SRR15884578	SRR15884579	SRR15884580	SRR15884581	SRR15884582	SRR15884583	SRR15884584	SRR15884585	SRR15884586	SRR15884587	SRR15884588	SRR15884589	SRR15884590	SRR15884591	SRR15884592	SRR15884593	SRR15884594	SRR15884595	SRR15884596	SRR15884597	SRR15884598	SRR15884599	SRR15884600	SRR15884601	SRR15884602	SRR15884603	SRR15884604	SRR15884605	SRR15884606	SRR15884607	SRR15884608	SRR15884609	SRR15884610	SRR15884611	SRR15884612	SRR15884613	SRR15884614	SRR15884615	SRR15884616	SRR15884617	SRR15884618	SRR15884619	SRR15884620	SRR15884621	SRR15884622	SRR15884623	SRR15884624	SRR15884625	SRR15884626	SRR15884627	SRR15884628	SRR15884629	SRR15884630	SRR15884631	SRR15884632	SRR15884633	SRR15884634	SRR15884635	SRR15884636	SRR15884637	SRR15884638	SRR15884639	SRR15884640	SRR15884641	SRR15884642	SRR15884643	SRR15884644	SRR15884645	SRR15884646	SRR15884647	SRR15884648	SRR15884649	SRR15884650	SRR15884651	SRR15884652	SRR15884653	SRR15884654	SRR15884655	SRR15884656	SRR15884657	SRR15884658	SRR15884659	SRR15884660	SRR15884661	SRR15884662	SRR15884663	SRR15884664	SRR15884665	SRR15884666	SRR15884667	SRR15884668	SRR15884669	SRR15884670	SRR15884671	SRR15884672	SRR15884673	SRR15884674	SRR15884675	SRR15884676	SRR15884677	SRR15884678	SRR15884679	SRR15884680	SRR15884681	SRR15884682	SRR15884683	SRR15884684	SRR15884685	SRR15884686	SRR15884687	SRR15884688	SRR15884689	SRR15884690	SRR15884691	SRR15884692	SRR15884693	SRR15884694	SRR15884695	SRR15884696	SRR15884697	SRR15884698	SRR15884699	SRR15884700	SRR15884701	SRR15884702	SRR15884703	SRR15884704	SRR15884705	SRR15884706	SRR15884707	SRR15884708	SRR15884709	SRR15884710	SRR15884711	SRR15884712	SRR15884713	SRR15884714	SRR15884715	SRR15884716	SRR15884717	SRR15884718	SRR15884719	SRR15884720	SRR15884721	SRR15884722	SRR15884723	SRR15884724	SRR15884725	SRR15884726	SRR15884727	SRR15884728	SRR15884729	SRR15884730	SRR15884731	SRR15884732	SRR15884733	SRR15884734	SRR15884735	SRR15884736	SRR15884737	SRR15884738	SRR15884739	SRR15884740	SRR15884741	SRR15884742	SRR15884743	SRR15884744	SRR15884745	SRR15884746	SRR15884747	SRR15884748	SRR15884749	SRR15884750	SRR15884751	SRR15884752	SRR15884753	SRR15884754	SRR15884755	SRR15884756	SRR15884757	SRR15884758	SRR15884759	SRR15884760	SRR15884761	SRR15884762	SRR15884763	SRR15884764	SRR15884765	SRR15884766	SRR15884767	SRR15884768	SRR15884769	SRR15884770	SRR15884771	SRR15884772	SRR15884773	SRR15884774	SRR15884775	SRR15884776	SRR15884777	SRR15884778	SRR15884779	SRR15884780	SRR15884781	SRR15884782	SRR15884783	SRR15884784	SRR15884785	SRR15884786	SRR15884787	SRR15884788	SRR15884789	SRR15884790	SRR15884791	SRR15884792	SRR15884793	SRR15884794	SRR15884795	SRR15884796	SRR15884797	SRR15884798	SRR15884799	SRR15884800	SRR15884801	SRR15884802	SRR15884803	SRR15884804	SRR15884805	SRR15884806	SRR15884807	SRR15884808	SRR15884809	SRR15884810	SRR15884811	SRR15884812	SRR15884813	SRR15884814	SRR15884815	SRR15884816	SRR15884817	SRR15884818	SRR15884819	SRR15884820	SRR15884821	SRR15884822	SRR15884823	SRR15884824	SRR15884825	SRR15884826	SRR15884827	SRR15884828	SRR15884829	SRR15884830	SRR15884831	SRR15884832	SRR15884833	SRR15884834	SRR15884835	SRR15884836	SRR15884837	SRR15884838	SRR15884839	SRR15884840	SRR15884841	SRR15884842	SRR15884843	SRR15884844	SRR15884845	SRR15884846	SRR15884847	SRR15884848	SRR15884849	SRR15884850	SRR15884851	SRR15884852	SRR15884853	SRR15884854	SRR15884855	SRR15884856	SRR15884857	SRR15884858	SRR15884859	SRR15884860	SRR15884861	SRR15884862	SRR15884863	SRR15884864	SRR15884865	SRR15884866	SRR15884867	SRR15884868	SRR15884869	SRR15884870	SRR15884871	SRR15884872	SRR15884873	SRR15884874	SRR15884875	SRR15884876	SRR15884877	SRR15884878	SRR15884879	SRR15884880	SRR15884881	SRR15884882	SRR15884883	SRR15884884	SRR15884885	SRR15884886	SRR15884887	SRR15884888	SRR15884889	SRR15884890	SRR15884891	SRR15884892	SRR15884893	SRR15884894	SRR15884895	SRR15884896	SRR15884897	SRR15884898	SRR15884899	SRR15884900	SRR15884901	SRR15884902	SRR15884903	SRR15884904	SRR15884905	SRR15884906	SRR15884907	SRR15884908	SRR15884909	SRR15884910	SRR15884911	SRR15884912	SRR15884913	SRR15884914	SRR15884915	SRR15884916	SRR15884917	SRR15884918	SRR15884919	SRR15884920	SRR15884921	SRR15884922	SRR15884923	SRR15884924	SRR15884925	SRR15884926
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__nan	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteriaceae;g__Methanothermobacter;s__nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
